Id,Price
725,157556.74042202765
15856,223515.06775526717
5480,175171.69617486684
15664,318289.71208699426
14275,134643.9929483164
7633,199290.60091660122
13329,154867.78663514782
5502,222476.84007886113
4220,294217.5685700382
11538,197578.8845188067
15975,275556.2228238253
3310,223279.41778200227
9286,146569.4824752444
11260,190012.7270224801
5214,100136.45835277732
11307,181425.3618031901
13543,403853.95736166247
615,166701.78426358366
3495,214226.5402135067
2321,236525.0973060975
12046,200750.3843362148
16688,145189.84681483835
12694,221616.15157134403
783,145501.4779650153
8968,163019.27189292444
13454,183109.39447169588
12190,275395.77381057234
11160,106459.4181035734
10291,201728.08055429262
891,272283.14428557275
2982,188450.59083367762
3818,264264.5796289363
2449,195296.56791381276
8317,166515.84954045195
4922,189516.33819325178
1257,231699.25703238655
9348,241582.00560795926
4176,178384.02228833374
10704,152391.60735730393
6624,111269.16644529552
5428,183166.37454825707
12749,174283.21842710706
8994,201047.580186179
11513,139439.46059128238
3047,194721.4867960166
9519,199018.59631248456
12309,248096.5092549108
14081,247440.9369292635
8334,260784.9849596302
6343,182802.20478208482
14788,128741.13148416473
15748,243871.77848951216
153,244393.86718980756
14149,190231.88239485718
269,189205.60532015804
5452,128362.14173158418
721,187687.95197590292
5079,336614.97448370344
2831,116377.91992545602
10614,115287.34880148915
10131,300250.1361240104
9996,288224.8326232889
3061,181818.2468942099
11733,327587.3663757153
3726,217834.7766618816
10929,218631.71004152118
9011,205233.447982137
16182,316810.8370499462
4976,172841.21650910267
9897,234754.2202318153
1872,180990.9226975923
9205,538413.4003822829
5403,383302.05296685
14074,196696.8148091678
6268,155526.2999696677
14232,159751.182599084
8532,232248.69494892683
7034,349179.4494756653
6553,496896.0463582801
3133,174604.827560991
8596,214100.5253613247
12389,251496.38505969464
14462,175720.28320284587
8860,307423.3895927226
8377,293754.9731567683
6367,324589.72663759615
6917,237534.27153413923
4216,198695.19317005546
5806,162707.49191793476
5438,177513.2094007544
6632,213093.25071397712
2650,145692.14906970618
5396,198871.49086275525
4044,148692.0970691349
1345,269808.74584542954
856,184977.16731486152
12791,250768.05452839987
12499,215650.45802104782
12249,128295.95784018439
14641,142725.18917246713
1919,160108.0888225068
7848,192856.59665047683
10749,174444.9365200627
15554,202359.1029178491
15834,228271.58476763451
1355,176773.42178348542
15451,186967.6751380622
12401,201443.72937163358
10290,181440.37733098265
9462,135693.88781623644
3103,219674.38184267955
3420,133968.21941609267
12262,237813.60595576913
5032,139798.09314893332
8949,297706.5692998103
15567,227580.43731764233
16389,149829.8161293315
7809,86550.00764807305
8990,193287.41958691
16089,242897.37436723465
12743,100604.31573425056
5132,127617.36773609823
1619,277333.51832892926
2428,90252.01628923921
16741,167943.35581844885
13193,219111.94409998177
12588,507184.451133082
5067,162864.58646712266
14685,126818.14040723215
2292,177440.7008399948
5746,126378.0625023645
12578,162767.1377688184
14834,195326.13195018438
2147,173666.5815503064
8222,129027.55200801202
10419,270173.16130507115
11492,221325.52462171516
3006,216244.8868882095
